NO.,DATE,IV No.,PO No.,PC Job,SUPPLIER,ID,qty,UNIT/Price
,1/1/2021,ยกยอด64,,,,ACB70251020,7,75.46
,1/1/2021,ยกยอด64,,,,ACB70251095,2,98
,1/1/2021,ยกยอด64,,,,ACB7025420,31,29.64
,1/1/2021,ยกยอด64,,,,ACB7025495,54,36.75
,1/1/2021,ยกยอด64,,,,ACB7025520,28,41.65
,1/1/2021,ยกยอด64,,,,ACB7025620,64,50
,1/1/2021,ยกยอด64,,,,ACB7025720,34,53.16
,1/1/2021,ยกยอด64,,,,ACB7025820,50,60.025
,1/1/2021,ยกยอด64,,,,ACB7025895,6,66.64
,1/1/2021,ยกยอด64,,,,ACB7025920,28,68.11
,1/1/2021,ยกยอด64,,,,ACB7035790,53,67.13
,1/1/2021,ยกยอด64,,,,ACB7035794,8,56.105
,1/1/2021,ยกยอด64,,,,ACB7035990,41,85.26
,1/1/2021,ยกยอด64,,,,ACB7035994,47,57.82
,1/1/2021,ยกยอด64,,,,ACC500330,2,154.28
,1/1/2021,ยกยอด64,,,,ACC5029,204,10
,1/1/2021,ยกยอด64,,,,ACC503429,222,10
,1/1/2021,ยกยอด64,,,,ACC600330,28,165.09
,1/1/2021,ยกยอด64,,,,ACC707045,6,25
,1/1/2021,ยกยอด64,,,,ACC957045,27,35
,1/1/2021,ยกยอด64,,,,ACL212202440,90,1240
,1/1/2021,ยกยอด64,,,,ACL3012202440,12,1500
,1/1/2021,ยกยอด64,,,,ACL5012202440,27,2480
,1/1/2021,ยกยอด64,,,,ACWT212202440,18,800
,1/1/2021,ยกยอด64,,,,ALZN2012202440,5,2726
,1/1/2021,ยกยอด64,,,,BC5022920,13,29
,1/1/2021,ยกยอด64,,,,BR5012202440,4,3550
,1/1/2021,ยกยอด64,,,,CAB401075,29,36.8
,1/1/2021,ยกยอด64,,,,CAB401175,21,39.79
,1/1/2021,ยกยอด64,,,,CAB401275,20,42.55
,1/1/2021,ยกยอด64,,,,CAB40275,59,9.66
,1/1/2021,ยกยอด64,,,,CAB40325,58,20
,1/1/2021,ยกยอด64,,,,CAB40375,180,13.11
,1/1/2021,ยกยอด64,,,,CAB40475,102,17.25
,1/1/2021,ยกยอด64,,,,CAB40575,50,50
,1/1/2021,ยกยอด64,,,,CAB40675,11,60
,1/1/2021,ยกยอด64,,,,CAB40775,82,90.5
,1/1/2021,ยกยอด64,,,,CAB40875,99,30
,1/1/2021,ยกยอด64,,,,CAB40975,17,33.12
,1/1/2021,ยกยอด64,,,,CAH601075,16,43.7
,1/1/2021,ยกยอด64,,,,CAH601175,21,48.76
,1/1/2021,ยกยอด64,,,,CAH60375,26,16.33
,1/1/2021,ยกยอด64,,,,CAH60475,19,20.24
,1/1/2021,ยกยอด64,,,,CAH60575,67,24.15
,1/1/2021,ยกยอด64,,,,CAH60675,21,28.06
,1/1/2021,ยกยอด64,,,,CAH60775,27,33
,1/1/2021,ยกยอด64,,,,CAH60875,50,35.88
,1/1/2021,ยกยอด64,,,,CAH60975,37,40
,1/1/2021,ยกยอด64,,,,CAP50251000,10,46.7
,1/1/2021,ยกยอด64,,,,CAP5025900,11,34.8
,1/1/2021,ยกยอด64,,,,CAP702549520,43,41.65
,1/1/2021,ยกยอด64,,,,CAP702559520,86,41.65
,1/1/2021,ยกยอด64,,,,CAP702569520,55,32.48
,1/1/2021,ยกยอด64,,,,CAP702579520,1,35.96
,1/1/2021,ยกยอด64,,,,CAP702589520,39,40.83
,1/1/2021,ยกยอด64,,,,CAP702599520,29,45.47
,1/1/2021,ยกยอด64,,,,CBA225220,47,25.75
,1/1/2021,ยกยอด64,,,,CBA275220,28,35.62
,1/1/2021,ยกยอด64,,,,CBA275280,32,97.69
,1/1/2021,ยกยอด64,,,,CBA275330,21,45.08
,1/1/2021,ยกยอด64,,,,CBA325220,68,49
,1/1/2021,ยกยอด64,,,,CBA325280,35,49.77
,1/1/2021,ยกยอด64,,,,CBA325330,8,56.27
,1/1/2021,ยกยอด64,,,,CBA425220,40,50.24
,1/1/2021,ยกยอด64,,,,CBA425280,15,61.37
,1/1/2021,ยกยอด64,,,,CBA425330,49,70.65
