NO.,CODE,GROUP,LIST,BRAND,HI,WEIGHT KG,GROUP,
1,ACB70251020,PART,คานตัวC 70x25T3.0x1020,,EA,3.08,wire,สายไฟ
2,ACB70251095,PART,คานตัวC 70x25T3.01095,,EA,1.21,ACC,ชิ้นส่วน
3,ACB7025420,PART,คานตัวC 70x25T3.0x420,,EA,1.5,Support,ลูกถ้วย&Support
4,ACB7025495,PART,คานตัวC 70x25T3.0x495,,EA,1.78,Key,กุญแจ
5,ACB7025520,PART,คานตัวC 70x25T3.0x520,,EA,1.8,KG.,\
6,ACB7025620,PART,คานตัวC 70x25T3.0x620,,EA,2.17,น้ำหนักต่อชิ้น,
7,ACB7025720,PART,คานตัวC 70x25T3.0x720,,EA,2.17,,
8,ACB7025790,PART,คานตัวC 70x25T3.0x790,,EA,2.3,,
9,ACB7025795,PART,คานตัวC 70x25T3.0x795,,EA,2.38,,
10,ACB7025820,PART,คานตัวC 70x25T3.0x820,,EA,2.45,,
11,ACB7025895,PART,คานตัวC 70x25T3.0x895,,EA,2.72,,
12,ACB7025920,PART,คานตัวC 70x25T3.0x920,,EA,2.78,,
13,ACB7035790,PART,คานตัวC 70x35T3.0x790,,EA,2.74,,
14,ACB7035794,PART,คานตัวC 70x35T3.0x794,,EA,2.29,,
15,ACB7035990,PART,คานตัวC 70x35T3.0x990,,EA,3.48,,
16,ACB7035994,PART,คานตัวC 70x35T3.0x994,,EA,2.9,,
17,ACC500330,PART,ชุดฝากันระเบิด500X330,,EA,2.36,,
18,ACC500500,PART,ชุดฝากันระเบิด 500x500,,EA,3.7,,
19,ACC5029,PART,ฉากตัวL รับแผ่นกั้น50x29,,EA,0.04,,
20,ACC503429,PART,ฉากตัวZ รับแผ่นกั้น50x34x29,,EA,0.06,,
21,ACC600330,PART,ชุดฝากันระเบิด 600x330,,EA,2.83,,
22,ACC600500,PART,ชุดฝากันระเบิด 600x500,,EA,4.27,,
23,ACC707045,PART,ฉากสามเหลี่ยม70x70x45,,EA,0.22,,
24,ACC907045,PART,ฉากสามเหลี่ยม90x70x45,,EA,0,,
25,ACC957045,PART,ฉากสามเหลี่ยม95x70x45,,EA,0.29,,
26,ACL0348521,PART,แผ่นอะคริลิคสีชาใส 4'x8' T3.0mm #521,,แผ่น,,,
27,ACL104451134,MAT ST,แผ่นอะคริลิคใส 445x1134 T10.0,,แผ่น,,,
28,ACL212202440,MAT ST,แผ่นอคิลิคใส 4'x8' T2.0,,แผ่น,,,
29,ACL3012202440,PART,อคิลิคใส 4x8 T3.0,,แผ่น,,,
30,ACL307001200,PART,แผ่นอะคริลิคขาวขุ่น 700x1200mm T3.0mm,,แผ่น,,,
31,ACL4768531910,PART,แผ่นอะคิลิค 853x1910 T4.76,,แผ่น,,,
32,ACL5012202440,PART,แผ่นอะคิลิค4x8..T5.0,,แผ่น,,,
33,AC-TB146136,PART,ขายึดเทอมีนอล146x136,,EA,0.22,,
34,ACWT212202440,,แผ่นอะคริลิค  ฮิพ/ สีขาว 1220x2440 หนา 2.0มิล ,,แผ่น,,,
35,ALZN1512202440,,อลูซิงค์ ขนาด 4'x8' T1.5mm,,แผ่น,,,
36,ALZN2012202440,,อลูซิงค์ ขนาด 4'x8' T2.0mm,,แผ่น,,,
37,BC5022920,PART,คานฝาหน้ารูพิเศษ 50x22x920,,EA,1.61,,
38,BR10100100,MAT ST,แผ่นเบกไลท์ 100x100T10,,EA,,,
39,BR1012202440,PART,แผ่นเบกไลท์1220x2440T10,,EA,,,
40,BR1501400338,PART,แผ่นเบกไลท์ 140x338 T15,,EA,,,
41,BR5012202440,PART,แผ่นเบกไลท์ 1220x2440T5.0,ชินโชริ,แผ่น,,,
42,BR606101220,,แผ่นทองเหลือง 2'x4' T.6.0,,แผ่น,,,
43,BR8012202440,,แบกกาไลท์ 4'x8' T8.0mm,,แผ่น,,,
44,CAB401075,PART,หมวกตู้ 40x1075,,EA,1.6,,
45,CAB401175,PART,หมวกตู้ 40x1175,,EA,1.73,,
46,CAB401275,PART,หมวกตู้40x1275,,EA,1.85,,
47,CAB40275,PART,หมวกตู้ 40x275,,EA,0.42,,
48,CAB40325,PART,หมวกตู้ 40x325,,EA,0.53,,
49,CAB40375,PART,หมวกตู้ 40x375,,EA,0.57,,
50,CAB40475,PART,หมวกตู้ 40x475,,EA,1.75,,
51,CAB40575,PART,หมวกตู้ 40x575,,EA,0.87,,
52,CAB40675,PART,หมวกตู้ 40x675,,EA,1.01,,
53,CAB40775,PART,หมวกตู้ 40x775,,EA,1.17,,
54,CAB40875,PART,หมวกตู้ 40x875,,EA,1.3,,
55,CAB40975,PART,หมวกตู้ 40x975,,EA,1.44,,
56,CAH601075,PART,หมวกตู้ 60x1075,,EA,1.9,,
57,CAH601175,PART,หมวกตู้ 60x1175,,EA,2.12,,
58,CAH60375,PART,หมวกตู้ 60x375,,EA,0.71,,
59,CAH60475,PART,หมวกตู้ 60x475,,EA,0.88,,
60,CAH60575,PART,หมวกตู้ 60x575,,EA,1.05,,
61,CAH60675,PART,หมวกตู้ 60x675,,EA,1.22,,
62,CAH60775,PART,หมวกตู้ 60x775,,EA,1.4,,
63,CAH60875,PART,หมวกตู้ 60x875,,EA,1.56,,
